Identifier	Correct	P1 (Q1)	P1 (Q2)	P1 (Q3)	P1 (Q4)	P1 (Q5)	P1 (Q6)	P1 (Q7)	P1 (Q8)	P1 (Q9)	P1 (Q10)	P2 (Q1)	P2 (Q2)	P2 (Q3)	P2 (Q4)	P2 (Q5)	P2 (Q6)	P2 (Q7)	P2 (Q8)	P2 (Q9)	P2 (Q10)	P3 (Q1)	P3 (Q2)	P3 (Q3)	P3 (Q4)	P3 (Q5)	P3 (Q6)	P3 (Q7)	P3 (Q8)	P3 (Q9)	P3 (Q10)	P4 (Q1)	P4 (Q2)	P4 (Q3)	P4 (Q4)	P4 (Q5)	P4 (Q6)	P4 (Q7)	P4 (Q8)	P4 (Q9)	P4 (Q10)
142	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q10)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"C, D"	E	"B, C, D"	"A, B"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 24, 34, 21, 28, 54"	"30, 28, 34, 21, 26, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	E	"C, E"
143	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"A, B, C"	E	"A, B, D"	"A, B, C, E, F"		44	51	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	5	5	10	4	8	B	C	"A, B, C, E"
144	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q8)"	"5
3"	D	"A, B, C"	b myprogram.cpp: 57	"h
l
o"	"B, C"	E	"A, C, D"	"A, B, C, E, F"		44	6	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"34, 26, 54, 21, 28, 24"	"28, 26, 34, 21, 30, 54"	A	5	"MAD
MID
MIDTERM
MINT
MIND"	E								
145	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q9),P4 (Q7)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	E	E	"B, C, D"	"B, C, E, F"				2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"30, 26, 34, 21, 28, 54"	"A, B, C, D"	8	"mad
mid
midterm
mind
mint"	"B, D"					4			"A, B, C"
146	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q9),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q8)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	B	4	4	9	5	6	B	G	C
147	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7)"	"5
3"	E	"A, B, C"	break myprogram.cpp:56	"h
l
o"	E	E	"A, D"	"A, B, C, F"		1	50	2	"A, C, D"	D	"E, C, F, B, L, A, G"	C	A	2	B	"A, C, D"	4	"13, 12, 18, 5, 15, 26"	2	1	"A, B"				7	"AD
MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	12	4	4			
148	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	C	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
149	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"B, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	B	2	B	"A, C, D"	4	"13, 12, 26, 5, 15, 18"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	8	4	8	B	C	"C, E"
150	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q3),P2 (Q8),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q9)"	"5
3"	E	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"A, B, D"	"A, B, C, E, F"		3	7	2		"B, C, D"	"E, C, G, B, F, L, A"		A	3	C	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	9	4	7	A	C	C
151	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, D, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	C	"C, E"
152	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	3	4	B	G	"C, E"
153	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	6	B	C	"A, B, C"
154	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l 
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	3	"A, C, D"	D	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	B	5	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	25	4	5	B	C	C
155	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp 56	"h
l
o"	"B, C"	E	"A, B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
156	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"A, B, E"
157	"P1 (Q1),P1 (Q3),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8)"	"5
3"	"A, C, D, E"	"A, B, C"	break 56	"h
l
!"	E	E	"A, B, D"	"A, B, C, F"		44	6	2	"A, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	4	"mad
mid
midterm
mind
mint"	B	4	4	9	4	24	B	B	"C, D, E"
158	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q9),P2 (Q10),P3 (Q2)"	"5
3"	E	"A, B, C"	b 56	"h
l
o"	"A, B, D"	E				44		2		D	"E, C, G, B, F, L, A"		C	2	B	"A, C"	3	"12, 5, 15, 13, 26, 18"	3						6										
159	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"C, D"	"A, B, C, F"		44	50	2	"A, C, D"	D	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"A, B, D"	4	4	10	4	5	B	C	"A, B, C, E"
160	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
161	"P1 (Q2),P1 (Q5),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8)"	"2
5"	"D, E"	A	b 56 myprogram.cpp	"h
l
o"	"B, C"	D	"A, B, D"	"A, B, D, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	3	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"												
162	"P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q6),P4 (Q9)"	"5
5"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
e
o"	"B, C"	D	D	"A, B, C, E, F"		43	99	2	"A, C, D"	"D, E"	"E, C, G, B, F, L, A"	C	A	3	A	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	2	A	"34, 26, 54, 21, 28, 24"	"34, 30, 54, 26, 21, 28"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	3	12	4	3	C	C	"B, C, E"
163	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	b 57	"h
l
o"	B	E	"B, C, D"	"B, C, F"		44	50	2	"A, B, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, B, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"mad
mid
midterm
mind
mint"	"A, B, D"	8	4	24	4	8	B	C	"A, C, D, E"
164	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"B, D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		93	49	2	"A, C, D"		"E, C, G, B, F, L, A"	C	A	0	B	"A, C, D"	3	"13, 12, 15, 5, 18, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"34, 26, 54, 21, 28, 30"	F	7	"mad
mid
midterm
mind
mint"	B	4	4	10	4	9	B	C	"C, E"
165	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q9),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8)"	"5
3"	"A, D"	"A, B, C"	b 56	"h
l
o"	"A, C"	E	"C, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 30, 21, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	25	4	5	B	E	"A, B, C, E"
166	"P1 (Q1),P1 (Q2),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q9),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	C	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"		"21, 26, 28, 30, 34, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	20	4	3	B	C	"C, D, E"
167	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	E	"A, B, C"	b 56	"h
l
o"	"A, B"	E	"B, C, D"	"A, B, C, F"		44	51	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	D	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	E	4	4	24	4	8	B	C	"C, E"
168	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"A, B, C, D"	"A, B, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	3	C	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"Mad
Mid
Midterm
Mind
Mint"	"B, D"	6	5	30	4	4	B	C	"A, C, D, E"
169	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	4	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
170	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:57	hlo	"B, C"	E	"C, D"	"A, C, F"		44	49	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	9	3		C	B	
171	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q8),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q8)"	"5
3"	"D, E"	"A, B, C"	b 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	7	"mad
mid
midterm
mind
mint"	B	4	4	9	3	5	B	F	C
